CL	CL_plane	Name_identical	Related	Merged	Naked_merged
NB5_COSMIC	NB5	NB5_COSMIC		NB5_COSMIC	NB5
NB69_COSMIC	NB69	NB69_COSMIC		NB69_COSMIC	NB69
NB6_COSMIC	NB6	NB6_COSMIC		NB6_COSMIC	NB6
NB7_COSMIC	NB7	NB7_COSMIC		NB7_COSMIC	NB7
NBSUSSR_COSMIC	NBSUSSR	NBSUSSR_COSMIC		NBSUSSR_COSMIC	NBSUSSR
NB(TU)1-10_COSMIC	NBTU110	NB(TU)1-10_COSMIC		NB(TU)1-10_COSMIC	NBTU110
NCC010_COSMIC	NCC010	NCC010_COSMIC		NCC010_COSMIC	NCC010
NCC021_COSMIC	NCC021	NCC021_COSMIC		NCC021_COSMIC	NCC021
NCCIT_COSMIC	NCCIT	NCCIT_COSMIC		NCCIT_COSMIC	NCCIT
NCCSTCK140_CCLE	NCCSTCK140	NCCSTCK140_CCLE,NCC-StC-K140_GDC		NCCSTCK140_CCLE,NCC-StC-K140_GDC	NCCSTCK140,NCCSCK140
NCC-StC-K140_GDC	NCCSTCK140	NCCSTCK140_CCLE,NCC-StC-K140_GDC		NCCSTCK140_CCLE,NCC-StC-K140_GDC	NCCSTCK140,NCCSCK140
